,location,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,d_Sontek,td_Sontek,d_streamPro,td_streamPro
1a,14.31,-0.01,0.02,0.01,,,,,,,,,0,0.12,0.445,0.435
1b,14.07,-0.01,0.01,-0.02,-0.03,,,,,,,,0,0.12,0.445,0.435
1c,13.83,0.02,0.05,0.03,0.04,0.02,,,,,,,0,0.12,0.645,0.635
2,7.86,0.08,0.12,0.13,0.11,0.15,0.15,0.12,0.08,,,,0,0.12,0.545,0.735
3,5.86,0.18,0.25,0.27,0.28,0.3,0.29,0.26,0.21,,,,0,0.12,0.436666667,0.626666667
4,3.86,0.35,0.39,0.41,0.35,0.38,0.33,0.23,,,,,0,0.12,0.436666667,0.626666667
4b,0.7,0.17,0.17,0.13,0.14,,,,,,,,0,0.12,0.34,0.53
5a,0.7,0.11,0.13,0.11,0.09,,,,,,,,0,0.12,0.27,0.46
5b,0,0.13,0.13,0.08,,,,,,,,,0,0.12,0.2,0.39
5c,-1.4,0.12,0.08,0.08,,,,,,,,,0,0.12,0.15,0.34
5d,-2.1,0.05,0.08,0.05,,,,,,,,,0,0.12,0.14,0.33
